idPelicula,titulo,añoLanzamiento,resumen
1,Jurassic Park,1993,Un parque de dinosaurios se sale de control
2,Inception,2010,Un ladrón entra en los sueños de las personas para robar secretos
3,The Godfather,1972,El patriarca de una familia criminal traslada el poder a su hijo más joven
4,The Dark Knight,2008,Batman enfrenta al Joker en una lucha por Gotham
5,The Shawshank Redemption,1994,Un hombre inocente es encarcelado y encuentra la esperanza en la cárcel
6,Schindler's List,1993,Un empresario alemán salva a cientos de judíos durante el Holocausto
7,Forrest Gump,1994,La vida de un hombre simple que experimenta momentos históricos importantes
8,The Matrix,1999,Un hacker descubre la verdad sobre la realidad y lucha contra las máquinas
9,The Lord of the Rings: The Fellowship of the Ring,2001,Un grupo de aventureros busca destruir un anillo maligno
10,Inglourious Basterds,2009,Un grupo de soldados judíos y aliados conspira para asesinar a líderes nazis
