idSerie,titulo,añoLanzamiento,resumen
1,Breaking Bad,2008,Un profesor de química se convierte en fabricante de metanfetaminas
2,Game of Thrones,2011,Intrigas y luchas por el poder en los Siete Reinos
3,Stranger Things,2016,Un grupo de amigos enfrenta fenómenos sobrenaturales en los años 80
4,The Crown,2016,Drama biográfico sobre el reinado de la Reina Isabel II
5,Friends,1994,Comedia sobre un grupo de amigos que viven en Nueva York
6,The Office,2005,Comedia que muestra la vida cotidiana en una oficina de Scranton, Pennsylvania
7,Stranger Things,2016,Un grupo de amigos enfrenta fenómenos sobrenaturales en los años 80
8,Black Mirror,2011,Serie de antología que explora el lado oscuro de la tecnología y la sociedad
9,Narcos,2015,Drama sobre el ascenso y la caída de los carteles de la droga en Colombia
10,The Mandalorian,2019,Un cazarrecompensas viaja por la galaxia después de la caída del Imperio
